ds,yhat,yhat_lower,yhat_upper
2024-06-07,7343672.586749268,4777529.191558611,10049879.544448763
2024-06-08,7436039.594394482,4982517.976898953,10112949.764005963
2024-06-09,6547199.213087361,4036781.205330691,9141240.14589252
2024-06-10,6565656.411704913,3929502.575055488,9118680.23578678
2024-06-11,7224141.963333418,4626984.685235031,10100985.094648667
2024-06-12,6834265.4967656005,4221325.689484976,9267134.70404885
2024-06-13,6002880.153321555,3349136.353613991,8538192.003998937
2024-06-14,6623192.788880317,3953368.24987012,9008714.681116069
2024-06-15,6218883.284486247,3745749.329646711,8803821.025247358
2024-06-16,5497673.703771733,2715549.621089666,8202239.656627458
2024-06-17,5824342.358539869,3108669.6975328713,8363853.518706237
2024-06-18,6010849.671283253,3522659.534198152,8450165.209588114
2024-06-19,6488360.993337981,4058762.464233207,9047589.078605574
2024-06-20,5584592.914161808,2927114.472174161,8205310.947267402
2024-06-21,6691142.210703631,4171345.580298572,9199554.561812982
2024-06-22,6086783.970912276,3265642.892116366,8528675.141149005
2024-06-23,5844490.287354274,3308987.8568434822,8547563.50530975
2024-06-24,5515994.448245742,2924328.837595329,7812265.927189138
2024-06-25,5741337.970301653,3151194.6701385165,8273014.795660985
2024-06-26,6032408.041659868,3382151.9319241745,8540779.29415884
2024-06-27,5716174.388336489,3097854.330321744,8189202.497764681
2024-06-28,6473009.319913173,3806782.032111703,9008671.411446052
2024-06-29,6108820.130822694,3350602.4460672387,8530818.638393097
2024-06-30,5644347.4120138325,3007363.784548242,8219943.829332836
2024-07-01,5738382.886145768,2978005.3259444325,8346201.486996154
2024-07-02,6491007.751944466,3898971.2039984437,8881888.989401415
2024-07-03,6138453.654132215,3537151.277325382,8662451.18057058
2024-07-04,5684763.363787829,3067630.5835902826,8098626.308303128
2024-07-05,6777523.575839875,4040434.0476138066,9402925.246233635
2024-07-06,6274011.921686314,3730322.2687459425,8892080.969860984
2024-07-07,5614426.5674148025,2898330.220269932,7998977.65684995
2024-07-08,6020891.435993349,3471038.1498119975,8694176.369673949
2024-07-09,6300753.193613252,3530264.4494428383,8969514.876274891
2024-07-10,5811335.004731668,3263889.7866274808,8350411.781711764
2024-07-11,5532102.490575092,2970965.915278268,7989680.369661181
2024-07-12,6535513.316046578,3678591.2790427483,8923797.96277423
2024-07-13,5998996.553736556,3275746.774556523,8444805.884754814
2024-07-14,5890011.106490922,3316295.858390011,8452372.408104848
2024-07-15,5718040.076688189,3250299.4411459398,8376970.183643669
2024-07-16,6154448.442331071,3675772.913481282,8599229.510208061
2024-07-17,5550777.808239345,2940224.6544278474,8291362.437544597
2024-07-18,5390311.732399881,2887200.225479328,7917215.552231903
2024-07-19,6303481.242396751,3696649.7816272434,8720106.029459381
2024-07-20,5842794.583119059,3288459.3998351353,8422048.76250408
2024-07-21,5769818.3729659235,3366369.6340458244,8614972.998840438
2024-07-22,5223454.8677029945,2600048.5178957093,7665260.778029981
2024-07-23,5616314.287479868,3030710.817911545,8238258.137882614
2024-07-24,5820742.241805599,3243110.0822268534,8384169.262516326
2024-07-25,5501050.63507553,2931440.7439572983,8376475.145084111
2024-07-26,6187739.9416085705,3595835.397102975,8579939.881028501
2024-07-27,5693029.416344409,3197849.225428628,8242123.015655387
2024-07-28,5736006.617341672,3154550.4089267612,8274135.891899324
2024-07-29,6051513.8061200585,3295433.4479409703,8533711.70977016
2024-07-30,5664544.290198917,3230953.6042303434,8222794.456883451
2024-07-31,5766611.002258472,3295168.978895207,8140742.764522912
2024-08-01,5540209.006168935,2839110.320854839,8262691.68934878
2024-08-02,6256822.614669803,3611627.809685681,8753867.613717396
2024-08-03,6732977.19321377,4115613.0178015833,9314501.616854254
2024-08-04,6129983.622417406,3478240.912646941,8770596.89880611
2024-08-05,6154628.0736123305,3609748.7952618487,8709707.781755522
2024-08-06,6951492.076407892,4278686.186322393,9527972.915838994
2024-08-07,6285042.363887891,3689633.977448416,8847599.01809634
2024-08-08,6666429.516720259,4028441.632146165,9310905.094074596
2024-08-09,6828868.988348762,4414493.060004232,9467578.493643846
2024-08-10,6688870.373819077,4157986.218164299,9380135.413870197
2024-08-11,6411192.1077432,3579866.612609181,8985057.355417093
2024-08-12,6320198.22132838,3887919.0264662113,8766731.039256662
2024-08-13,6469181.270736437,3939195.454590368,9211058.348011578
2024-08-14,6355124.751444666,3795871.784557813,9090068.593718022
2024-08-15,6103971.348473034,3459802.289661208,8838923.132133901
2024-08-16,6732013.180738305,4054779.46327485,9266992.708073976
2024-08-17,5971568.075373635,3387515.7014805274,8319770.246998672
