ds,yhat,yhat_lower,yhat_upper
2025-03-05,6900320.518178745,4086225.5533182295,9723339.425644416
2025-03-06,6728928.049541772,3712365.1959489905,9481925.646683197
2025-03-07,7140210.687628831,4363968.218039211,9994046.041420799
2025-03-08,6940807.095413949,4240318.198534348,9959961.372698326
2025-03-09,7004656.658562157,4023600.7125068745,9984019.666861584
2025-03-10,6780410.033688023,3861362.4190354827,9660359.305710722
2025-03-11,6968733.925902287,4275767.815590787,9834951.531350916
2025-03-12,6328513.59875534,3417626.6342076133,9100213.74626615
2025-03-13,6046385.288091439,3344902.024481965,9039252.115922794
2025-03-14,6409026.128363946,3612595.8000782626,9259536.026484752
2025-03-15,6154106.051262611,3285550.373776966,9213402.645105094
2025-03-16,6152828.892860214,3374046.584014299,9115634.54996138
2025-03-17,5947324.687569116,3104552.0355578344,9032350.99924812
2025-03-18,6336606.99854512,3349688.7217160673,9230252.728713106
2025-03-19,6072442.297321713,3286813.180552696,8998442.102040976
2025-03-20,6194559.480699159,3304548.000170501,8890452.77877201
2025-03-21,6807328.571640739,4005487.9098990434,9514432.268219372
2025-03-22,6572620.491099333,3526593.239202424,9532147.4982787
2025-03-23,6441096.273872897,3450702.225498071,9294665.549269926
2025-03-24,6113774.041118236,3289719.4965524715,8960830.494477782
2025-03-25,6481190.853662507,3564647.7184791416,9486436.909181276
2025-03-26,6253092.94413433,3449117.956539375,9256645.504701775
2025-03-27,6348431.450648312,3414960.2519702762,9257632.630452113
2025-03-28,6809452.289514932,3951098.0336253573,9755627.323674964
2025-03-29,6368724.551615054,3395764.715560901,9344403.915618302
2025-03-30,6118887.76391545,3128032.1725346474,9088907.048767319
2025-03-31,5850904.8838189365,3066115.5408627507,8691597.913854005
