ds,yhat,yhat_lower,yhat_upper
2025-02-19,6158300.534963386,4255042.883817905,8092094.288579695
2025-02-20,6214542.833840168,4207798.19433761,8293048.878007823
2025-02-21,6544840.325430604,4442681.956800238,8387810.473983006
2025-02-22,6174278.185971267,4211565.872752939,8101233.060964267
2025-02-23,6106840.096071713,4173403.595656507,7982856.736756705
2025-02-24,5989316.653126704,4144945.928371895,7932938.951263246
2025-02-25,6384517.733566962,4567619.250580995,8170564.066553162
2025-02-26,6000603.46069386,4044031.0834519025,7934326.355525287
2025-02-27,5808443.076831972,3820014.471120116,7824950.081658306
2025-02-28,6033770.154301216,4056360.694740938,7874523.278588434
2025-03-01,5286653.643961353,3362166.988122423,7283336.860492623
2025-03-02,5328029.90389122,3331940.6028430234,7167165.864303045
2025-03-03,5272997.202626095,3345868.0387111264,7274508.0719830515
2025-03-04,5661638.6590638785,3692861.6842182465,7684390.026759423
2025-03-05,5279957.564218413,3329021.269308441,7345686.198668967
2025-03-06,5175348.442605188,3362063.1339743733,7096527.2510997765
2025-03-07,5567159.286680588,3658936.1016508723,7583266.097114527
2025-03-08,5395873.153301918,3554047.355958861,7260910.1439600345
2025-03-09,5451763.041267506,3523460.998207364,7382913.831419117
2025-03-10,5254838.583614622,3463149.2421551156,7210872.906110946
2025-03-11,5423663.937929259,3655479.3531461516,7423919.912862701
2025-03-12,4859343.737348951,2970791.166121446,6714449.605999835
2025-03-13,4651319.008497979,2598745.26917722,6580468.730520338
2025-03-14,4980331.400257251,3044831.55112859,6811322.522112716
2025-03-15,4738302.527767058,2736601.7025586576,6534602.313153131
2025-03-16,4727343.614842012,2902960.788842063,6654407.37765573
2025-03-17,4559284.466502515,2669743.6622811905,6459996.462376576
2025-03-18,4931298.822367617,3111611.9607752208,6814515.942890332
2025-03-19,4725869.783045867,2952742.76003623,6643025.966324551
2025-03-20,4890236.891223281,2907770.114260957,6754269.405242223
2025-03-21,5445955.12350816,3551793.0710785873,7450985.363454673
2025-03-22,5228676.905618375,3237833.9382218067,7294032.119774753
2025-03-23,5110601.543116204,3142414.3684170693,7028901.1436403785
2025-03-24,4835277.10477809,2876508.6475352994,6733561.98688272
2025-03-25,5165942.443208207,3178978.5128626116,7195924.516847621
2025-03-26,4947705.927267053,3043706.124522958,6950055.709084395
2025-03-27,5032203.866683094,3088925.88311365,6949706.007430742
2025-03-28,5407648.588657299,3501640.3936669216,7529617.3767274385
2025-03-29,4988528.777189517,3030024.2945884545,6963755.794076402
2025-03-30,4766801.292420176,2840728.758105122,6550386.670126369
2025-03-31,4550915.728474504,2708406.506241682,6552340.682082614
