ds,yhat,yhat_lower,yhat_upper
2025-02-08,6053616.1529939715,5457001.522180995,6609854.506747516
2025-02-09,6089940.126274331,5488310.0686510885,6647387.699047564
2025-02-10,5334308.217950968,4825184.34877732,5914916.888297935
2025-02-11,5564053.256180234,5003573.758005748,6119476.998800514
2025-02-12,6216995.767162718,5654240.066856828,6773943.27801374
2025-02-13,5474572.170860922,4965863.116218122,6044247.933331711
2025-02-14,6133292.662279867,5602174.742852258,6676418.997237194
2025-02-15,6169246.337563655,5599224.853255763,6732196.92173965
2025-02-16,6067144.698917008,5495511.835241369,6651265.589053209
2025-02-17,5511743.618988599,4973552.369402532,6050053.121981327
2025-02-18,5878632.831521189,5310319.099506593,6378437.546002293
2025-02-19,6595603.520170461,6051933.5080081625,7171833.134625539
2025-02-20,5797540.805816408,5207913.317508915,6393754.335446106
2025-02-21,6412955.82031501,5830177.12582179,6963029.595533261
2025-02-22,6242635.689736377,5661630.65131513,6795551.529980091
2025-02-23,6270906.270834712,5676961.764016765,6843151.742014541
2025-02-24,5708098.693453522,5193402.152184651,6269017.7162337685
2025-02-25,5960546.597492033,5436045.327220361,6543048.875196536
2025-02-26,6465700.413294434,5929263.621258945,7040386.55479705
2025-02-27,5712538.180409168,5151530.728719783,6294237.782917583
2025-02-28,6396574.0886113085,5855354.088485606,6961100.7384351455
2025-03-01,6150766.815750378,5621018.955428746,6682930.105337963
2025-03-02,5361866.498847399,4791179.469805886,5902335.763363882
2025-03-03,5082561.984370015,4540821.945711425,5641580.496807503
2025-03-04,5509586.4463328235,4939125.945215098,6093260.283330185
2025-03-05,5465008.312347944,4909007.978025288,5965935.423707915
2025-03-06,5559313.015686566,4982361.95073592,6075952.394076821
2025-03-07,6690358.274064545,6117861.6163457,7237048.231975766
2025-03-08,6444488.037211338,5893700.25076461,7012559.425825758
2025-03-09,5664548.737915383,5124702.043796405,6225303.490725659
2025-03-10,5135736.428598937,4600851.391459343,5661221.405408114
2025-03-11,5501313.606696164,4889030.156063186,6015987.608876106
2025-03-12,5325030.815994445,4751321.983274408,5931780.558921764
2025-03-13,5333359.841101386,4792366.919349539,5872261.984389081
2025-03-14,6426142.212016459,5940763.1149761025,7024155.761340624
2025-03-15,6178921.767168626,5580087.426062921,6705880.158462403
